label,Company,Seller,Delivery number,Delivery date,Wood species,Lumber quantity,Trunc diameter,Assortment,Size class,Length (m),Quality class,Import,National Trade,Certification,Storage Place
F1L37,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,59,39,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L38,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,72,43,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L39,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,53,37,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L40,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,83,46,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L41,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,0,69,42,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L42,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,86,47,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L43,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,26,26,Bloch,D2b,5,C,no,yes,no,fir Bloch
F1L44,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,59,39,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L45,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,9,48,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L46,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,53,37,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L47,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,0,59,39,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L48,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,1,86,69,Bloch,D6,5,B,no,yes,no,fir Bloch
F1L49,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,42,33,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L50,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,1,02,51,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L51,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,0,76,44,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L52,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,1,14,54,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L53,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,53,37,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L54,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,0,66,41,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L55,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,1,1,53,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L56,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,35,30,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L57,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,0,45,34,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L58,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,66,41,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L59,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,62,40,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L60,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,76,44,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L61,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,spruce,0,66,41,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L62,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,98,50,Bloch,D5,5,B,no,yes,no,larch Bloch
F1L63,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,larch,0,24,25,Bloch,D2b,5,C,no,yes,no,larch Bloch
F1L64,Sawmill Bioholz GmbH,forest1,44200,09-Feb-2024,fir,1,76,67,Bloch,D6,5,B,no,yes,no,fir Bloch
F1L65,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,72,43,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L66,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,56,38,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L67,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,72,43,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L68,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,1,76,67,Bloch,D6,5,C,no,yes,no,spruce Bloch
F1L69,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,72,43,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L70,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L71,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,26,26,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L72,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,94,49,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L73,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L74,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,83,46,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L75,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,35,30,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L76,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L77,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,0,76,44,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L78,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L79,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,4,32,Bloch,D3a,5,C,no,yes,no,spruce Bloch
F1L80,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,59,39,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L81,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,1,18,55,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L82,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,1,02,51,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L83,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,1,18,55,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L84,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,69,42,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L85,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,fir,1,06,52,Bloch,D5,5,C,no,yes,no,fir Bloch
F1L86,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,83,46,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L87,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,83,46,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L88,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,53,37,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L89,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,94,49,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L90,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,56,38,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L91,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,0,33,29,Bloch,D2b,5,C,no,yes,no,spruce Bloch
F1L92,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,spruce,1,14,54,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L93,Sawmill Bioholz GmbH,forest1,87150,09-Feb-2024,larch,0,59,39,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L94,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,56,38,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L95,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,3,28,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L96,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,45,34,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L97,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,48,35,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L98,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,1,36,59,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L99,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,1,32,58,Bloch,D5,5,B,no,yes,no,fir Bloch
F1L100,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,19,22,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L101,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,19,22,Bloch,D2a,5,C,no,yes,no,spruce Bloch
F1L102,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,62,40,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L103,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,45,34,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L104,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,45,34,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L105,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,26,26,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L106,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,26,26,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L107,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,1,02,51,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L108,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,9,48,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L109,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,5,36,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L110,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,24,25,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L111,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,5,36,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L112,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,37,31,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L113,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,76,44,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L114,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,83,46,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L115,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,1,14,54,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L116,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,83,46,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L117,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,62,40,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L118,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,35,30,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L119,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,83,46,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L120,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,28,27,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L121,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,17,21,Bloch,D2a,5,C,no,yes,no,fir Bloch
F1L122,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,35,30,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L123,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,5,36,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L124,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,48,35,Bloch,D3b,5,C,no,yes,no,spruce Bloch
F1L125,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,76,44,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L126,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,1,02,51,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L127,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,59,39,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L128,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,33,29,Bloch,D2b,5,B,no,yes,no,larch Bloch
F1L129,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,fir,0,62,40,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L130,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,spruce,0,35,30,Bloch,D3a,5,A,no,yes,no,spruce Bloch
F1L131,Sawmill Bioholz GmbH,forest1,84010,12-Feb-2024,larch,0,83,46,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L132,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,98,50,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L133,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,66,41,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L134,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,59,39,Bloch,D3b,5,C,no,yes,no,larch Bloch
F1L135,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L136,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,37,31,Bloch,D3a,5,B,no,yes,no,fir Bloch
F1L137,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,1,27,57,Bloch,D5,5,C,no,yes,no,spruce Bloch
F1L138,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,17,21,Bloch,D2a,5,B,no,yes,no,spruce Bloch
F1L139,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,56,38,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L140,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,42,33,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L141,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,48,35,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L142,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,9,48,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L143,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,59,39,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L144,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,79,45,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L145,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,86,47,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L146,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,33,29,Bloch,D2b,5,A,no,yes,no,larch Bloch
F1L147,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L148,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,4,32,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L149,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,66,41,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L150,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,62,40,Bloch,D4,5,C,no,yes,no,spruce Bloch
F1L151,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,48,35,Bloch,D3b,5,B,no,yes,no,spruce Bloch
F1L152,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L153,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,5,36,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L154,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,spruce,0,37,31,Bloch,D3a,5,B,no,yes,no,spruce Bloch
F1L155,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,56,38,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L156,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,98,50,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L157,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,26,26,Bloch,D2b,5,C,no,yes,no,larch Bloch
F1L158,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,1,55,63,Bloch,D6,5,B,no,yes,no,fir Bloch
F1L159,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,62,40,Bloch,D4,5,B,no,yes,no,fir Bloch
F1L160,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,62,40,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L161,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,42,33,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L162,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,83,46,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L163,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,86,47,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L164,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,4,32,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L165,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L166,Sawmill Bioholz GmbH,forest1,26700,13-Feb-2024,larch,0,62,40,Bloch,D4,5,B,no,yes,no,larch Bloch
F1L167,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,59,39,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L168,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,86,47,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L169,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,1,14,54,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L170,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,48,35,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L171,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,72,43,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L172,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,28,27,Bloch,D2b,5,B,no,yes,no,spruce Bloch
F1L173,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,35,30,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L174,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,98,50,Bloch,D5,5,B,no,yes,no,spruce Bloch
F1L175,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,35,30,Bloch,D3a,5,C,no,yes,no,larch Bloch
F1L176,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,1,23,56,Bloch,D5,5,C,no,yes,no,larch Bloch
F1L177,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,5,36,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L178,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,79,45,Bloch,D4,5,C,no,yes,no,fir Bloch
F1L179,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,56,38,Bloch,D3b,5,B,no,yes,no,larch Bloch
F1L180,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,72,43,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L181,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,79,45,Bloch,D4,5,C,no,yes,no,larch Bloch
F1L182,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,4,32,Bloch,D3a,5,A,no,yes,no,spruce Bloch
F1L183,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,larch,0,35,30,Bloch,D3a,5,B,no,yes,no,larch Bloch
F1L184,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,53,37,Bloch,D3b,5,B,no,yes,no,fir Bloch
F1L185,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,2,23,Bloch,D2a,5,A,no,yes,no,fir Bloch
F1L186,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,4,32,Bloch,D3a,5,C,no,yes,no,fir Bloch
F1L187,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,24,25,Bloch,D2b,5,B,no,yes,no,fir Bloch
F1L188,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,53,37,Bloch,D3b,5,C,no,yes,no,fir Bloch
F1L189,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,79,45,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L190,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,spruce,0,79,45,Bloch,D4,5,B,no,yes,no,spruce Bloch
F1L191,Sawmill Bioholz GmbH,forest1,17860,14-Feb-2024,fir,0,79,45,Bloch,D4,5,B,no,yes,no,fir Bloch
