label,Company,Country,Federal state,Municipality,Side,Wood species,Harvesting date,GPS coordinate lat,GPS coordinate long,Trunc diameter,Size class,Quality class,Assortment,Length,Lumber quantity,Moon phase,Date of Sale,Customer,Export,National Trade,Certification,Loading point (GPS lat),Loading point (GPS long)
F1L1,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.828579,12.982120,34,D3a,B,Bloch,5,0.45,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L38,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.821370,12.952861,43,D4,B,Bloch,5,0,72,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L39,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.830687,12.978618,37,D3b,B,Bloch,5,0,53,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L40,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.817718,12.977320,46,D4,B,Bloch,5,0,83,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L41,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.842179,12.998181,42,D4,B,Bloch,5,0,69,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L42,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.835980,12.975844,47,D4,B,Bloch,5,0,86,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L43,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.821986,12.963060,26,D2b,C,Bloch,5,0,26,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L44,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/1/24 0:00,46.831931,12.993453,39,D3b,B,Bloch,5,0,59,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L45,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.846037,12.995280,48,D4,C,Bloch,5,0,90,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L46,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.832065,12.977755,37,D3b,B,Bloch,5,0,53,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L47,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/1/24 0:00,46.849524,12.981567,39,D3b,B,Bloch,5,0,59,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L48,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.853802,12.985528,69,D6,B,Bloch,5,1,86,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L49,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/1/24 0:00,46.837355,12.954761,33,D3a,B,Bloch,5,0,42,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L50,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/1/24 0:00,46.832952,12.969700,51,D5,C,Bloch,5,1,02,full moon,,sawmill,no,yes,no,46.840642,12.941741
F1L51,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.823439,12.983608,44,D4,C,Bloch,5,0,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L52,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.839692,12.988827,54,D5,C,Bloch,5,1,14,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L53,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.833812,12.941149,37,D3b,C,Bloch,5,0,53,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L54,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.818524,12.986692,41,D4,B,Bloch,5,0,66,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L55,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.830145,12.940892,53,D5,C,Bloch,5,1,10,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L56,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.825976,12.970586,30,D3a,C,Bloch,5,0,35,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L57,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.831275,12.957987,34,D3a,C,Bloch,5,0,45,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L58,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.836085,12.956384,41,D4,B,Bloch,5,0,66,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L59,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.847997,12.973470,40,D4,B,Bloch,5,0,62,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L60,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.831616,12.953467,44,D4,B,Bloch,5,0,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L61,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.855629,12.987475,41,D4,C,Bloch,5,0,66,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L62,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.829666,12.990403,50,D5,B,Bloch,5,0,98,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L63,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.829679,12.996153,25,D2b,C,Bloch,5,0,24,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L64,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.848119,12.981958,67,D6,B,Bloch,5,1,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L65,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.818355,12.981293,43,D4,B,Bloch,5,0,72,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L66,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.825111,12.963937,38,D3b,B,Bloch,5,0,56,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L67,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.827455,12.988638,43,D4,B,Bloch,5,0,72,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L68,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.856249,12.939668,67,D6,C,Bloch,5,1,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L69,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.834085,12.970369,43,D4,B,Bloch,5,0,72,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L70,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.841955,12.989386,40,D4,C,Bloch,5,0,62,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L71,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.854885,12.974583,26,D2b,B,Bloch,5,0,26,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L72,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.842596,12.976432,49,D4,C,Bloch,5,0,94,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L73,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.843665,12.959780,37,D3b,C,Bloch,5,0,53,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L74,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.834335,12.953452,46,D4,B,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L75,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/2/24 0:00,46.841570,12.990186,30,D3a,C,Bloch,5,0,35,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L76,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.817587,12.952223,39,D3b,C,Bloch,5,0,59,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L77,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.851836,12.980411,44,D4,B,Bloch,5,0,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L78,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.831623,12.966383,47,D4,B,Bloch,5,0,86,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L79,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.855511,12.952757,32,D3a,C,Bloch,5,0,40,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L80,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.842042,12.988700,39,D3b,C,Bloch,5,0,59,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L81,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.829571,12.955556,55,D5,C,Bloch,5,1,18,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L82,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.827528,12.971596,51,D5,C,Bloch,5,1,02,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L83,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.852155,12.977352,55,D5,C,Bloch,5,1,18,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L84,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.839309,12.941714,42,D4,B,Bloch,5,0,69,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L85,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.821545,12.994337,52,D5,C,Bloch,5,1,06,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L86,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.815673,12.948961,46,D4,C,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L87,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.855200,12.960513,46,D4,C,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L88,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.836507,12.955416,37,D3b,C,Bloch,5,0,53,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L89,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.851691,12.978870,49,D4,B,Bloch,5,0,94,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L90,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/2/24 0:00,46.855748,12.940100,38,D3b,C,Bloch,5,0,56,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L91,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/2/24 0:00,46.820927,12.943547,29,D2b,C,Bloch,5,0,33,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L92,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.822490,12.944818,54,D5,B,Bloch,5,1,14,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L93,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.821137,12.991296,39,D3b,C,Bloch,5,0,59,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L94,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.825646,12.944014,38,D3b,C,Bloch,5,0,56,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L95,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.822497,12.940408,28,D2b,B,Bloch,5,0,30,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L96,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/2/24 0:00,46.823676,12.975048,34,D3a,C,Bloch,5,0,45,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L97,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.825746,12.977728,35,D3b,C,Bloch,5,0,48,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L98,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/2/24 0:00,46.834640,12.941815,59,D5,B,Bloch,5,1,36,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L99,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.844435,12.949940,58,D5,B,Bloch,5,1,32,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L100,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/2/24 0:00,46.825653,12.982470,22,D2a,C,Bloch,5,0,19,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L101,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/5/24 0:00,46.828138,12.960403,22,D2a,C,Bloch,5,0,19,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L102,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.829714,12.955064,40,D4,B,Bloch,5,0,62,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L103,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/5/24 0:00,46.841209,12.983103,34,D3a,B,Bloch,5,0,45,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L104,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.817680,12.978764,34,D3a,C,Bloch,5,0,45,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L105,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.846485,12.956189,26,D2b,B,Bloch,5,0,26,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L106,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.837174,12.954845,26,D2b,B,Bloch,5,0,26,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L107,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/5/24 0:00,46.845648,12.980650,51,D5,C,Bloch,5,1,02,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L108,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.834514,12.950012,48,D4,C,Bloch,5,0,90,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L109,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.856634,12.969055,36,D3b,C,Bloch,5,0,50,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L110,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/5/24 0:00,46.853988,12.980235,25,D2b,B,Bloch,5,0,24,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L111,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/5/24 0:00,46.836314,12.991819,36,D3b,C,Bloch,5,0,50,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L112,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.836255,12.939636,31,D3a,B,Bloch,5,0,37,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L113,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/5/24 0:00,46.847552,12.961604,44,D4,B,Bloch,5,0,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L114,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.825635,12.957482,46,D4,B,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L115,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/5/24 0:00,46.853178,12.986121,54,D5,B,Bloch,5,1,14,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L116,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/5/24 0:00,46.818863,12.946349,46,D4,C,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L117,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.838368,12.947555,40,D4,C,Bloch,5,0,62,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L118,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/5/24 0:00,46.826702,12.992236,30,D3a,B,Bloch,5,0,35,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L119,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.842359,12.979158,46,D4,B,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L120,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.830976,12.960496,27,D2b,B,Bloch,5,0,28,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L121,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/5/24 0:00,46.833409,12.985833,21,D2a,C,Bloch,5,0,17,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L122,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.817101,12.952952,30,D3a,B,Bloch,5,0,35,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L123,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.837291,12.961381,36,D3b,C,Bloch,5,0,50,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L124,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/5/24 0:00,46.845378,12.986490,35,D3b,C,Bloch,5,0,48,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L125,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.837867,12.939396,44,D4,C,Bloch,5,0,76,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L126,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.820187,12.955357,51,D5,B,Bloch,5,1,02,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L127,forest1,austria,carinthia,9833 Rangersdorf,sun side,fir,2/5/24 0:00,46.854552,12.992530,39,D3b,B,Bloch,5,0,59,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L128,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.846395,12.992096,29,D2b,B,Bloch,5,0,33,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L129,forest1,austria,carinthia,9833 Rangersdorf,shadow side,fir,2/5/24 0:00,46.827576,12.944802,40,D4,B,Bloch,5,0,62,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L130,forest1,austria,carinthia,9833 Rangersdorf,sun side,spruce,2/5/24 0:00,46.826396,12.944419,30,D3a,A,Bloch,5,0,35,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L131,forest1,austria,carinthia,9833 Rangersdorf,sun side,larch,2/5/24 0:00,46.821972,12.945512,46,D4,C,Bloch,5,0,83,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L132,forest1,austria,carinthia,9833 Rangersdorf,shadow side,spruce,2/5/24 0:00,46.851157,12.996546,50,D5,C,Bloch,5,0,98,last quarter,,sawmill,no,yes,no,46.840642,12.941741
F1L133,forest1,austria,carinthia,9833 Rangersdorf,shadow side,larch,2/5/24 0:00,46.818493,12.968841,41,D4,B,Bloch,5,0,66,last quarter,,sawmill,no,yes,no,46.840642,12.941741
