ID,label,Name company,Freight departure date,Delivery number,Delivery location,Cargo vehicle,Loading point (GPS lat),Loading point (GPS long),Tree species,Assortment,Lumber quantity,Length,Import,Export,National Trade,Certification
17,F1L17,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,66,5,no,no,yes,no
18,F1L18,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,62,5,no,no,yes,no
19,F1L19,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,53,5,no,no,yes,no
20,F1L20,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Wertholz,1,02,5,no,no,yes,no
21,F1L21,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,79,5,no,no,yes,no
22,F1L22,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,5,5,no,no,yes,no
23,F1L23,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,4,5,no,no,yes,no
24,F1L24,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,86,5,no,no,yes,no
25,F1L25,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,06,5,no,no,yes,no
26,F1L26,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,1,32,5,no,no,yes,no
27,F1L27,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,98,5,no,no,yes,no
28,F1L28,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,4,5,no,no,yes,no
29,F1L29,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Wertholz,1,36,9,no,no,yes,no
30,F1L30,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,37,5,no,no,yes,no
31,F1L31,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,62,5,no,no,yes,no
32,F1L32,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,45,5,no,no,yes,no
33,F1L33,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,79,5,no,no,yes,no
34,F1L34,WoodCargo,08-Feb-2024,58480,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,1,5,no,no,yes,no
35,F1L35,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,62,5,no,no,yes,no
36,F1L36,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,26,5,no,no,yes,no
37,F1L37,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,59,5,no,no,yes,no
38,F1L38,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,72,5,no,no,yes,no
39,F1L39,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,53,5,no,no,yes,no
40,F1L40,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,83,5,no,no,yes,no
41,F1L41,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,69,5,no,no,yes,no
42,F1L42,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,86,5,no,no,yes,no
43,F1L43,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,26,5,no,no,yes,no
44,F1L44,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
45,F1L45,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,9,5,no,no,yes,no
46,F1L46,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,53,5,no,no,yes,no
47,F1L47,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,59,5,no,no,yes,no
48,F1L48,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,86,5,no,no,yes,no
49,F1L49,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,42,5,no,no,yes,no
50,F1L50,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,02,5,no,no,yes,no
51,F1L51,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,76,5,no,no,yes,no
52,F1L52,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,14,5,no,no,yes,no
53,F1L53,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,53,5,no,no,yes,no
54,F1L54,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,66,5,no,no,yes,no
55,F1L55,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,1,5,no,no,yes,no
56,F1L56,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,35,5,no,no,yes,no
57,F1L57,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,45,5,no,no,yes,no
58,F1L58,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,66,5,no,no,yes,no
59,F1L59,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,62,5,no,no,yes,no
60,F1L60,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,76,5,no,no,yes,no
61,F1L61,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,66,5,no,no,yes,no
62,F1L62,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,98,5,no,no,yes,no
63,F1L63,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,24,5,no,no,yes,no
64,F1L64,WoodCargo,09-Feb-2024,44200,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,76,5,no,no,yes,no
65,F1L65,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,72,5,no,no,yes,no
66,F1L66,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,56,5,no,no,yes,no
67,F1L67,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,72,5,no,no,yes,no
68,F1L68,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,76,5,no,no,yes,no
69,F1L69,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,72,5,no,no,yes,no
70,F1L70,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,62,5,no,no,yes,no
71,F1L71,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,26,5,no,no,yes,no
72,F1L72,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,94,5,no,no,yes,no
73,F1L73,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,53,5,no,no,yes,no
74,F1L74,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,83,5,no,no,yes,no
75,F1L75,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,35,5,no,no,yes,no
76,F1L76,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
77,F1L77,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,76,5,no,no,yes,no
78,F1L78,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,86,5,no,no,yes,no
79,F1L79,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,4,5,no,no,yes,no
80,F1L80,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,59,5,no,no,yes,no
81,F1L81,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,1,18,5,no,no,yes,no
82,F1L82,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,1,02,5,no,no,yes,no
83,F1L83,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,1,18,5,no,no,yes,no
84,F1L84,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,69,5,no,no,yes,no
85,F1L85,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,06,5,no,no,yes,no
86,F1L86,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,83,5,no,no,yes,no
87,F1L87,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,83,5,no,no,yes,no
88,F1L88,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,53,5,no,no,yes,no
89,F1L89,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,94,5,no,no,yes,no
90,F1L90,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,56,5,no,no,yes,no
91,F1L91,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,33,5,no,no,yes,no
92,F1L92,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,14,5,no,no,yes,no
93,F1L93,WoodCargo,09-Feb-2024,87150,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,59,5,no,no,yes,no
94,F1L94,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,56,5,no,no,yes,no
95,F1L95,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,3,5,no,no,yes,no
96,F1L96,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,45,5,no,no,yes,no
97,F1L97,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,48,5,no,no,yes,no
98,F1L98,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,36,5,no,no,yes,no
99,F1L99,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,1,32,5,no,no,yes,no
100,F1L100,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,19,5,no,no,yes,no
101,F1L101,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,19,5,no,no,yes,no
102,F1L102,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,62,5,no,no,yes,no
103,F1L103,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,45,5,no,no,yes,no
104,F1L104,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,45,5,no,no,yes,no
105,F1L105,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,26,5,no,no,yes,no
106,F1L106,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,26,5,no,no,yes,no
107,F1L107,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,1,02,5,no,no,yes,no
108,F1L108,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,9,5,no,no,yes,no
109,F1L109,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,5,5,no,no,yes,no
110,F1L110,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,24,5,no,no,yes,no
111,F1L111,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,5,5,no,no,yes,no
112,F1L112,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,37,5,no,no,yes,no
113,F1L113,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,76,5,no,no,yes,no
114,F1L114,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,83,5,no,no,yes,no
115,F1L115,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,14,5,no,no,yes,no
116,F1L116,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,83,5,no,no,yes,no
117,F1L117,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,62,5,no,no,yes,no
118,F1L118,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,35,5,no,no,yes,no
119,F1L119,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,83,5,no,no,yes,no
120,F1L120,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,28,5,no,no,yes,no
121,F1L121,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,17,5,no,no,yes,no
122,F1L122,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,35,5,no,no,yes,no
123,F1L123,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,5,5,no,no,yes,no
124,F1L124,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,48,5,no,no,yes,no
125,F1L125,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,76,5,no,no,yes,no
126,F1L126,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,02,5,no,no,yes,no
127,F1L127,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
128,F1L128,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,33,5,no,no,yes,no
129,F1L129,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,62,5,no,no,yes,no
130,F1L130,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,35,5,no,no,yes,no
131,F1L131,WoodCargo,12-Feb-2024,84010,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,83,5,no,no,yes,no
132,F1L132,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,98,5,no,no,yes,no
133,F1L133,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,66,5,no,no,yes,no
134,F1L134,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,59,5,no,no,yes,no
135,F1L135,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,62,5,no,no,yes,no
136,F1L136,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,37,5,no,no,yes,no
137,F1L137,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,1,27,5,no,no,yes,no
138,F1L138,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,17,5,no,no,yes,no
139,F1L139,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,56,5,no,no,yes,no
140,F1L140,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,42,5,no,no,yes,no
141,F1L141,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,48,5,no,no,yes,no
142,F1L142,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,9,5,no,no,yes,no
143,F1L143,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,59,5,no,no,yes,no
144,F1L144,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,79,5,no,no,yes,no
145,F1L145,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,86,5,no,no,yes,no
146,F1L146,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,33,5,no,no,yes,no
147,F1L147,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,72,5,no,no,yes,no
148,F1L148,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,4,5,no,no,yes,no
149,F1L149,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,66,5,no,no,yes,no
150,F1L150,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,62,5,no,no,yes,no
151,F1L151,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,48,5,no,no,yes,no
152,F1L152,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,fir,Bloch,0,53,5,no,no,yes,no
153,F1L153,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,larch,Bloch,0,5,5,no,no,yes,no
154,F1L154,WoodCargo,13-Feb-2024,26700,sawmill Musterstrasse 1 1111 Musterdorf,truck diesel,46.840642,12.941741,spruce,Bloch,0,37,5,no,no,yes,no
